round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
2,Shovel,887,168,0.18940248027057496,112,535,0.1262683201803833,0.6031567080045096,-0.4768883878241263,0.10600868438598325,0.14975126216343698,0.5705810243076153,0.634842700852952
2,Health Potion,887,140,0.15783540022547915,104,543,0.11724915445321307,0.6121758737316798,-0.49492671927846676,0.09770871635806444,0.14009068591502205,0.579691324929435,0.6436929445074661
2,Shell Totem,887,117,0.1319052987598647,92,555,0.10372040586245772,0.6257046223224352,-0.5219842164599775,0.08533439576802884,0.12552419009055701,0.593378370222545,0.6569467156288566
2,Chipped Topaz,887,94,0.10597519729425028,70,577,0.07891770011273957,0.6505073280721533,-0.5715896279594137,0.0629358197057995,0.09853126939286855,0.6185402752547402,0.6811763073565793
2,Chipped Emerald,887,79,0.08906426155580609,65,582,0.07328072153325817,0.6561443066516347,-0.5828635851183765,0.05790927655481169,0.09233247237114776,0.6242716659620696,0.6866702568219584
2,Deck of Cards,887,77,0.08680947012401354,64,583,0.07215332581736189,0.657271702367531,-0.5851183765501691,0.05690733764864692,0.09108934324277082,0.6254185235250269,0.6877684672935429
2,Spear,887,85,0.09582863585118377,64,583,0.07215332581736189,0.657271702367531,-0.5851183765501691,0.05690733764864692,0.09108934324277082,0.6254185235250269,0.6877684672935429
2,Blueberries,887,101,0.11386696730552424,63,584,0.07102593010146561,0.6583990980834273,-0.5873731679819617,0.05590657734100664,0.08984503551586938,0.6265655752757825,0.6888664835773289
2,Chipped Amethyst,887,79,0.08906426155580609,58,589,0.06538895152198422,0.6640360766629086,-0.5986471251409244,0.05092138584766598,0.08360488683650144,0.6323037630873103,0.6943536359385098
2,Hero Sword,887,73,0.08229988726042842,51,596,0.05749718151071026,0.6719278466741826,-0.6144306651634723,0.04399982492687462,0.07481097151550078,0.6403455151810751,0.702027360086537
2,Chipped Ruby,887,65,0.07328072153325817,47,600,0.05298759864712514,0.6764374295377678,-0.6234498308906427,0.040079222774482365,0.06975130152972615,0.6449452033456524,0.7064079440601265
2,Stamina Sack,887,71,0.08004509582863585,46,601,0.05186020293122886,0.677564825253664,-0.6257046223224352,0.039103450709586186,0.06848200556008062,0.6460956308242484,0.7075025846160724
2,Bag of Stones,887,69,0.0777903043968433,45,602,0.05073280721533258,0.6786922209695603,-0.6279594137542277,0.038129535147170934,0.06721085308795414,0.6472462615748683,0.7085970218999941
2,Hammer,887,54,0.060879368658399095,43,604,0.048478015783540024,0.6809470124013529,-0.6324689966178129,0.036187506801855784,0.06466274536418586,0.6495481351345876,0.7107852844093582
2,Torch,887,53,0.05975197294250282,41,606,0.046223224351747465,0.6832018038331454,-0.636978579481398,0.034253637728782274,0.06210647836817593,0.6518508285713257,0.7129727270417036
2,Chipped Sapphire,887,53,0.05975197294250282,40,607,0.04509582863585118,0.6843291995490417,-0.6392333709131905,0.033289935254761954,0.06082511280765453,0.6530024841917086,0.7140661394558625
2,Spiked Shield,887,58,0.06538895152198422,40,607,0.04509582863585118,0.6843291995490417,-0.6392333709131905,0.033289935254761954,0.06082511280765453,0.6530024841917086,0.7140661394558625
2,The Lovers,887,46,0.05186020293122886,40,607,0.04509582863585118,0.6843291995490417,-0.6392333709131905,0.033289935254761954,0.06082511280765453,0.6530024841917086,0.7140661394558625
2,Dagger,887,52,0.058624577226606536,36,611,0.040586245772266064,0.6888387824126269,-0.6482525366403608,0.029458512210886093,0.055676263713363525,0.6576111798719977,0.7184377159137403
2,Gloves of Haste,887,51,0.05749718151071026,31,616,0.03494926719278467,0.6944757609921083,-0.6595264937993236,0.02472904027092887,0.04918039548061215,0.6633767601796454,0.723897475778801
2,Leather Armor,887,37,0.04171364148816235,31,616,0.03494926719278467,0.6944757609921083,-0.6595264937993236,0.02472904027092887,0.04918039548061215,0.6633767601796454,0.723897475778801
2,Customer Card,887,54,0.060879368658399095,30,617,0.033821871476888386,0.6956031567080045,-0.6617812852311161,0.023792276788583526,0.047872090928415774,0.6645305106571215,0.7249887933358667
2,Potion Belt,887,44,0.0496054114994363,30,617,0.033821871476888386,0.6956031567080045,-0.6617812852311161,0.023792276788583526,0.047872090928415774,0.6645305106571215,0.7249887933358667
2,Stone Badge,887,38,0.04284103720405862,29,618,0.03269447576099211,0.6967305524239008,-0.6640360766629086,0.022858885445514537,0.04656041423694304,0.6656844741264567,0.7260798979010732
2,Amulet of the Wild,887,33,0.03720405862457723,27,620,0.030439684329199548,0.6989853438556933,-0.6685456595264938,0.0210028899049118,0.043926273708462346,0.6679930427109816,0.7282614653856317
2,Box of Riches,887,49,0.0552423900789177,27,620,0.030439684329199548,0.6989853438556933,-0.6685456595264938,0.0210028899049118,0.043926273708462346,0.6679930427109816,0.7282614653856317
2,Amulet of Darkness,887,29,0.03269447576099211,26,621,0.029312288613303268,0.7001127395715896,-0.6708004509582863,0.0200806583889381,0.042603437189894316,0.669147649179725,0.7293519269514301
2,Goobert,887,35,0.03945885005636979,26,621,0.029312288613303268,0.7001127395715896,-0.6708004509582863,0.0200806583889381,0.042603437189894316,0.669147649179725,0.7293519269514301
2,Leaf Badge,887,41,0.046223224351747465,26,621,0.029312288613303268,0.7001127395715896,-0.6708004509582863,0.0200806583889381,0.042603437189894316,0.669147649179725,0.7293519269514301
2,Flame Badge,887,42,0.04735062006764374,25,622,0.02818489289740699,0.7012401352874859,-0.6730552423900789,0.01916254825881381,0.0412764792854769,0.6703024713476093,0.7304421728180874
2,Amulet of Alchemy,887,30,0.033821871476888386,23,624,0.02593010146561443,0.7034949267192785,-0.677564825253664,0.017339647568476245,0.03860924390673102,0.6726127655708334,0.7326220146639468
2,Amulet of Life,887,27,0.030439684329199548,22,625,0.02480270574971815,0.7046223224351748,-0.6798196166854567,0.016435396818536445,0.037268426622129106,0.6737682390404975,0.7337116092288245
2,Amulet of Steel,887,29,0.03269447576099211,21,626,0.02367531003382187,0.705749718151071,-0.6820744081172492,0.015536354674713683,0.03592240073141015,0.6749239310381375,0.7348009852657261
