A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Regular Amethyst,Regular Emerald,37,122,83,887,0.04171364148816235,0.1375422773393461,0.0935738444193912,3.241062611100139,1.696466891020203
Darksaber,Pocket Sand,32,79,111,887,0.036076662908680945,0.08906426155580609,0.12514092446448705,3.236857110274832,1.694593679773855
Hammer,Heroic Potion,26,54,132,887,0.029312288613303268,0.060879368658399095,0.1488162344983089,3.2354096520763185,1.693948390920234
Ruby Chonk,The Fool,20,112,49,887,0.02254791431792559,0.1262683201803833,0.0552423900789177,3.2325072886297375,1.692653623015614
Health Potion,Strong Demonic Flask,55,120,126,887,0.06200676437429538,0.13528748590755355,0.14205186020293123,3.226521164021164,1.6899794887172885
Hammer,Ruby Chonk,22,54,112,887,0.02480270574971815,0.060879368658399095,0.1262683201803833,3.226521164021164,1.6899794887172885
Nocturnal Lock Lifter,Vampiric Gloves,84,188,123,887,0.09470124013528748,0.21195039458850057,0.1386696730552424,3.2221069019200828,1.6880043600629469
Pestilence Flask,Smelly Wall,24,76,87,887,0.02705749718151071,0.08568207440811725,0.09808342728297632,3.219600725952813,1.6868817857299063
Cursed Dagger,Knife to Meet You,20,178,31,887,0.02254791431792559,0.20067643742953778,0.03494926719278467,3.2149329467198258,1.6847886478351533
Bloodthorne,The Fool,22,124,49,887,0.02480270574971815,0.13979706877113868,0.0552423900789177,3.2116524028966422,1.6833157584362777
Smelly Wall,Strong Stone Skin Potion,27,87,86,887,0.030439684329199548,0.09808342728297632,0.09695603156708005,3.2008821170809942,1.678469545913706
Katana,Miss Fortune,43,59,203,887,0.048478015783540024,0.0665163472378805,0.22886133032694475,3.1845203306337146,1.6710760824561444
Cauldron,Heavy Drinking,38,121,88,887,0.04284103720405862,0.13641488162344984,0.0992108229988726,3.1654770848985723,1.6624229518327576
Blood Amulet,Red Orchid Collar,30,223,38,887,0.033821871476888386,0.25140924464487036,0.04284103720405862,3.1401935331602546,1.6508534765456921
Death Scythe,Pestilence Flask,39,145,76,887,0.043968432919954906,0.16347237880496054,0.08568207440811725,3.139110707803993,1.6503559097047924
Death Scythe,Poison Frog,59,145,116,887,0.0665163472378805,0.16347237880496054,0.13077790304396844,3.111355529131986,1.6375432585203986
Death Scythe,Stone Skin Potion,61,145,120,887,0.06877113866967305,0.16347237880496054,0.13528748590755355,3.1095977011494247,1.636727946240497
Fancy Fencing Rapier,Light Goobert,25,136,53,887,0.02818489289740699,0.15332581736189402,0.05975197294250282,3.076442841287458,1.62126318826225
Bloodthorne,Healing Herbs,60,124,140,887,0.06764374295377677,0.13979706877113868,0.15783540022547915,3.065668202764977,1.6162015625777406
Heavy Drinking,Strong Demonic Flask,38,88,126,887,0.04284103720405862,0.0992108229988726,0.14205186020293123,3.039862914862915,1.6040062656074356
Holo Fire Lizard,The Lovers,28,132,62,887,0.03156708004509583,0.1488162344983089,0.06989853438556934,3.034701857282502,1.601554786613339
Moon Shield,Serpent Staff,20,133,44,887,0.02254791431792559,0.14994363021420518,0.0496054114994363,3.031442241968558,1.6000043350499393
Ace of Spades,Vampiric Gloves,26,62,123,887,0.029312288613303268,0.06989853438556934,0.1386696730552424,3.0241279832153154,1.5965191967160406
Heavy Drinking,Strong Health Potion,39,88,130,887,0.043968432919954906,0.0992108229988726,0.14656144306651633,3.0238636363636364,1.5963930814975604
Pestilence Flask,Stone Skin Potion,31,76,120,887,0.03494926719278467,0.08568207440811725,0.13528748590755355,3.0150219298245617,1.5921684956358353
Strong Health Potion,Strong Pestilence Flask,49,130,111,887,0.0552423900789177,0.14656144306651633,0.12514092446448705,3.0119889119889125,1.5907164590377119
Blood Manipulation,Vampiric Potion,37,114,96,887,0.04171364148816235,0.12852311161217586,0.10822998872604284,2.998812134502925,1.5843911450441162
Strong Divine Potion,Strong Pestilence Flask,28,75,111,887,0.03156708004509583,0.08455467869222097,0.12514092446448705,2.9833033033033036,1.5769106595126814
Blood Amulet,Strong Vampiric Potion,39,223,52,887,0.043968432919954906,0.25140924464487036,0.058624577226606536,2.9831838565022424,1.5768528951019154
Blood Amulet,Vampiric Potion,72,223,96,887,0.08117249154453213,0.25140924464487036,0.10822998872604284,2.983183856502242,1.5768528951019152
Ace of Spades,Vampiric Potion,20,62,96,887,0.02254791431792559,0.06989853438556934,0.10822998872604284,2.980510752688172,1.5755595780803948
Moon Armor,Moon Shield,28,63,133,887,0.03156708004509583,0.07102593010146561,0.14994363021420518,2.9640768588137005,1.5675828573575616
Blood Manipulation,Bloodthorne,47,114,124,887,0.05298759864712514,0.12852311161217586,0.13979706877113868,2.949136955291455,1.5602928214270846
Demonic Flask,Smelly Wall,52,181,87,887,0.058624577226606536,0.2040586245772266,0.09808342728297632,2.929065853813425,1.5504406295102224
Artifact Stone: Cold,Platinum Customer Card,20,31,196,887,0.02254791431792559,0.03494926719278467,0.2209695603156708,2.919684002633311,1.5458122346863425
Heavy Drinking,Pestilence Flask,22,88,76,887,0.02480270574971815,0.0992108229988726,0.08568207440811725,2.9177631578947367,1.5448627808574784
King Goobert,Leaf Badge,20,79,77,887,0.02254791431792559,0.08906426155580609,0.08680947012401354,2.916324182146967,1.544151100316422
Light Goobert,Miss Fortune,35,53,203,887,0.03945885005636979,0.05975197294250282,0.22886133032694475,2.885491216655823,1.528816939497655
Nocturnal Lock Lifter,Red Orchid Collar,23,188,38,887,0.02593010146561443,0.21195039458850057,0.04284103720405862,2.8556830907054866,1.5138358852368536
King Goobert,Paradise Birb,44,79,173,887,0.0496054114994363,0.08906426155580609,0.19503945885005636,2.8556376673739665,1.5138129371245337
Death Scythe,Health Potion,56,145,120,887,0.06313416009019165,0.16347237880496054,0.13528748590755355,2.8547126436781607,1.5133455307352148
Amulet of Feasting,Fly Agaric,29,71,127,887,0.03269447576099211,0.08004509582863585,0.14317925591882752,2.852722635022735,1.512339483151788
Deck of Cards,Ruby Chonk,90,251,112,887,0.10146561443066517,0.2829763246899662,0.1262683201803833,2.8397125782583945,1.5057449146223623
Cursed Dagger,Darksaber,45,178,79,887,0.05073280721533258,0.20067643742953778,0.08906426155580609,2.8385009244773145,1.5051292114872379
Bloodthorne,Double Rainbow,23,124,58,887,0.02593010146561443,0.13979706877113868,0.06538895152198422,2.8366240266963287,1.5041749448436292
Heroic Potion,Poison Dagger,32,132,76,887,0.036076662908680945,0.1488162344983089,0.08568207440811725,2.829346092503987,1.5004686614990248
Heavy Drinking,Strong Divine Potion,21,88,75,887,0.02367531003382187,0.0992108229988726,0.08455467869222097,2.8222727272727273,1.4968574079466461
Ace of Spades,Nocturnal Lock Lifter,37,62,188,887,0.04171364148816235,0.06989853438556934,0.21195039458850057,2.815631434454358,1.493458497865501
Regular Amethyst,Regular Topaz,48,122,124,887,0.05411499436302142,0.1375422773393461,0.13979706877113868,2.814383923849815,1.4928191470724588
Bloodthorne,Jimbo,24,124,61,887,0.02705749718151071,0.13979706877113868,0.06877113866967305,2.8143839238498143,1.4928191470724583
Blood Manipulation,Nocturnal Lock Lifter,68,114,188,887,0.07666290868094701,0.12852311161217586,0.21195039458850057,2.814296379245987,1.4927742697090243
King Goobert,Ruby Chonk,28,79,112,887,0.03156708004509583,0.08906426155580609,0.1262683201803833,2.806962025316455,1.4890095461239607
Bloody Dagger,Strong Heroic Potion,37,65,180,887,0.04171364148816235,0.07328072153325817,0.20293122886133033,2.8050427350427354,1.4880227505718846
Smelly Wall,Stone Skin Potion,33,87,120,887,0.03720405862457723,0.09808342728297632,0.13528748590755355,2.803735632183908,1.4873503222022704
Flute,Katana,23,124,59,887,0.02593010146561443,0.13979706877113868,0.0665163472378805,2.7885456533624926,1.47951289060936
Poison Dagger,Strong Heroic Potion,43,76,180,887,0.048478015783540024,0.08568207440811725,0.20293122886133033,2.7880847953216374,1.4792744392299015
Flawless Amethyst,Regular Topaz,21,54,124,887,0.02367531003382187,0.060879368658399095,0.13979706877113868,2.781810035842294,1.4760239045294805
