A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Cauldron,Poison Frog,22,121,116,887,0.02480270574971815,0.13641488162344984,0.13077790304396844,1.3902821316614418,0.4753776805361943
Miss Fortune,Puzzle Badge,21,203,66,887,0.02367531003382187,0.22886133032694475,0.07440811724915446,1.3902821316614418,0.4753776805361943
Regular Topaz,Wolpertinger,41,124,211,887,0.046223224351747465,0.13979706877113868,0.237880496054115,1.3899633083626357,0.47504679982508724
Snow Stick,Snowball,98,221,283,887,0.1104847801578354,0.2491544532130778,0.31905298759864714,1.389859776473786,0.47493933619295803
Healing Herbs,Star of Courage,34,140,155,887,0.038331454340473504,0.15783540022547915,0.17474633596392333,1.389769585253456,0.474845713332199
Chipped Ruby,Gloves of Haste,40,230,111,887,0.04509582863585118,0.2593010146561443,0.12514092446448705,1.389737563650607,0.474812471893945
Banana,Spiked Shield,23,277,53,887,0.02593010146561443,0.31228861330326946,0.05975197294250282,1.3896192357468837,0.47468962974568923
Chipped Emerald,Fortuna's Kiss,20,228,56,887,0.02254791431792559,0.2570462232243517,0.06313416009019165,1.3894110275689224,0.47447345296608057
Bloodthorne,Winged Boots,20,124,103,887,0.02254791431792559,0.13979706877113868,0.1161217587373168,1.388975884747886,0.47402155161833254
Echoing Battlecry,Shiny Shell,26,96,173,887,0.029312288613303268,0.10822998872604284,0.19503945885005636,1.3886078998073217,0.47363928408427514
Darksaber,Snowball,35,79,283,887,0.03945885005636979,0.08906426155580609,0.31905298759864714,1.3886031220646777,0.4736343202370451
Maneki-neko,The Lovers,33,340,62,887,0.03720405862457723,0.3833145434047351,0.06989853438556934,1.3885673624288424,0.4735971671349402
Flawed Emerald,Healing Herbs,39,178,140,887,0.043968432919954906,0.20067643742953778,0.15783540022547915,1.3881621187800963,0.473176065251948
Cap of Discomfort,Hammer,42,497,54,887,0.04735062006764374,0.560315670800451,0.060879368658399095,1.3881064162754304,0.4731181733540695
Blood Amulet,Strong Stone Skin Potion,30,223,86,887,0.033821871476888386,0.25140924464487036,0.09695603156708005,1.3875273751173218,0.4725162352871796
Bloodthorne,Flawed Topaz,45,124,232,887,0.05073280721533258,0.13979706877113868,0.2615558060879369,1.3874791434927696,0.47246608511629107
Mana Orb,Perfect Sapphire,20,312,41,887,0.02254791431792559,0.35174746335963925,0.046223224351747465,1.386804252657911,0.47176416570809393
Chipped Amethyst,Fancy Fencing Rapier,64,301,136,887,0.07215332581736189,0.33934611048478014,0.15332581736189402,1.386750048856752,0.47170777629102234
Gloves of Haste,Maneki-neko,59,111,340,887,0.0665163472378805,0.12514092446448705,0.3833145434047351,1.3866719660837308,0.4716265411750974
Corrupted Armor,Jynx torquilla,97,315,197,887,0.10935738444193913,0.3551296505073281,0.22209695603156707,1.3864958504552412,0.4714432986445363
Chipped Topaz,Cursed Dagger,69,248,178,887,0.0777903043968433,0.27959413754227735,0.20067643742953778,1.386439833272925,0.4713850097259601
Relic Case,The Fool,35,457,49,887,0.03945885005636979,0.5152198421645998,0.0552423900789177,1.3863707408565178,0.47131311207275256
Ace of Spades,Flawed Amethyst,25,62,258,887,0.02818489289740699,0.06989853438556934,0.29086809470124014,1.3862840710177542,0.471222918265659
Corrupted Crystal,Lump of Coal,50,405,79,887,0.05636978579481398,0.45659526493799324,0.08906426155580609,1.3861540865760276,0.4710876381266986
Garlic,Star of Courage,31,128,155,887,0.03494926719278467,0.14430665163472378,0.17474633596392333,1.3859375000000003,0.47086219941370183
Chipped Sapphire,Doom Cap,44,176,160,887,0.0496054114994363,0.1984216459977452,0.18038331454340473,1.3859375,0.47086219941370155
Amulet of Energy,Doom Cap,34,136,160,887,0.038331454340473504,0.15332581736189402,0.18038331454340473,1.3859375,0.47086219941370155
Chipped Sapphire,Health Potion,33,176,120,887,0.03720405862457723,0.1984216459977452,0.13528748590755355,1.3859375,0.47086219941370155
Health Potion,Vampiric Armor,21,120,112,887,0.02367531003382187,0.13528748590755355,0.1262683201803833,1.3859375,0.47086219941370155
Corrupted Crystal,Sir Sand,155,405,245,887,0.17474633596392333,0.45659526493799324,0.2762119503945885,1.3855883093978332,0.47049866280074376
Customer Card,Jynx torquilla,28,91,197,887,0.03156708004509583,0.10259301014656144,0.22209695603156707,1.3853963295587661,0.4702987567035955
Chipped Sapphire,Wolpertinger,58,176,211,887,0.06538895152198422,0.1984216459977452,0.237880496054115,1.3853403705299443,0.4702404820841539
Amulet of Steel,Chipped Emerald,47,132,228,887,0.05298759864712514,0.1488162344983089,0.2570462232243517,1.3852006911217436,0.470095012455506
No Rush Please,Shelly,72,109,423,887,0.08117249154453213,0.12288613303269448,0.4768883878241263,1.385125902791333,0.4700171178464999
Flawed Ruby,Vampiric Armor,32,183,112,887,0.036076662908680945,0.20631341600901917,0.1262683201803833,1.384855581576893,0.4697355339594173
Dark Ritual,Stone Helm,24,84,183,887,0.02705749718151071,0.09470124013528748,0.20631341600901917,1.384855581576893,0.4697355339594173
Stone Helm,Stone Shoes,24,183,84,887,0.02705749718151071,0.20631341600901917,0.09470124013528748,1.3848555815768928,0.4697355339594171
Gloves of Haste,Toad,62,111,358,887,0.06989853438556934,0.12514092446448705,0.4036076662908681,1.383914640897881,0.46875496107357667
Glowing Crown,Paradise Birb,61,226,173,887,0.06877113866967305,0.2547914317925592,0.19503945885005636,1.3838815284669292,0.4687204418120378
Amulet of Life,Amulet of the Wild,31,143,139,887,0.03494926719278467,0.161217587373168,0.15670800450958286,1.3833576495447,0.4681741951860423
Djinn Lamp,Paradise Birb,48,178,173,887,0.05411499436302142,0.20067643742953778,0.19503945885005636,1.3826070013639018,0.4673911364190974
Amulet of Steel,Chipped Topaz,51,132,248,887,0.05749718151071026,0.1488162344983089,0.27959413754227735,1.3818731671554252,0.4666252065272308
Chipped Topaz,Fanfare,34,248,88,887,0.038331454340473504,0.27959413754227735,0.0992108229988726,1.3818731671554252,0.4666252065272308
Ace of Spades,Prismatic Orb,34,62,352,887,0.038331454340473504,0.06989853438556934,0.3968432919954904,1.3818731671554252,0.4666252065272308
Poison Frog,Star of Courage,28,116,155,887,0.03156708004509583,0.13077790304396844,0.17474633596392333,1.3813125695216906,0.4660398159568581
Healing Herbs,Wolpertinger,46,140,211,887,0.05186020293122886,0.15783540022547915,0.237880496054115,1.38124576844956,0.4659700447059253
False Life,Sir Sand,66,173,245,887,0.07440811724915446,0.19503945885005636,0.2762119503945885,1.3811961778931225,0.4659182470202221
Prismatic Orb,Regular Ruby,57,352,104,887,0.06426155580608793,0.3968432919954904,0.11724915445321307,1.3810915646853148,0.46580897168741625
Amulet of Feasting,Demonic Flask,20,71,181,887,0.02254791431792559,0.08004509582863585,0.2040586245772266,1.3804373200529143,0.46512538260053893
False Life,Regular Ruby,28,173,104,887,0.03156708004509583,0.19503945885005636,0.11724915445321307,1.3803912850155626,0.46507727058085135
Box of Prosperity,Shiny Shell,28,104,173,887,0.03156708004509583,0.11724915445321307,0.19503945885005636,1.3803912850155624,0.46507727058085113
Cursed Dagger,Strong Health Potion,36,178,130,887,0.040586245772266064,0.20067643742953778,0.14656144306651633,1.3799481417458945,0.46461405174852394
Heroic Potion,Ruby Chonk,23,132,112,887,0.02593010146561443,0.1488162344983089,0.1262683201803833,1.3799377705627702,0.46460320894201884
Regular Sapphire,Strong Heroic Potion,21,75,180,887,0.02367531003382187,0.08455467869222097,0.20293122886133033,1.3797777777777778,0.46443593025426855
Flawed Emerald,Vampiric Armor,31,178,112,887,0.03494926719278467,0.20067643742953778,0.1262683201803833,1.379263643659711,0.4638982516639371
Pocket Sand,Shelly,73,111,423,887,0.08229988726042842,0.12514092446448705,0.4768883878241263,1.3790599109748045,0.4636851337110253
Gloves of Haste,Glowing Crown,39,111,226,887,0.043968432919954906,0.12514092446448705,0.2547914317925592,1.3789763214541977,0.4635976843980187
Fancy Fencing Rapier,Oil Lamp,56,136,265,887,0.06313416009019165,0.15332581736189402,0.2987598647125141,1.3782463928967814,0.4628338256577671
Flame Badge,Oil Lamp,35,85,265,887,0.03945885005636979,0.09582863585118377,0.2987598647125141,1.3782463928967814,0.4628338256577671
Chipped Sapphire,Garlic,35,176,128,887,0.03945885005636979,0.1984216459977452,0.14430665163472378,1.3780628551136365,0.46264169260873317
Fly Agaric,Snake,29,127,147,887,0.03269447576099211,0.14317925591882752,0.1657271702367531,1.3778456264395522,0.46241425782010576
Flawed Emerald,Vampiric Gloves,34,178,123,887,0.038331454340473504,0.20067643742953778,0.1386696730552424,1.377455010505161,0.4620051992457655
Chipped Ruby,Vampiric Armor,40,230,112,887,0.04509582863585118,0.2593010146561443,0.1262683201803833,1.3773291925465838,0.46187341618644684
Amulet of Steel,Snowball,58,132,283,887,0.06538895152198422,0.1488162344983089,0.31905298759864714,1.3771817111039726,0.4617189272383002
Garlic,Mana Orb,62,128,312,887,0.06989853438556934,0.14430665163472378,0.35174746335963925,1.3770532852564104,0.46158438582569083
Divine Potion,Shielded,32,217,95,887,0.036076662908680945,0.24464487034949267,0.10710259301014656,1.3768615086102352,0.4613834535256366
Carrot,Toad,20,36,358,887,0.02254791431792559,0.040586245772266064,0.4036076662908681,1.3764742396027314,0.46097761048185765
Amulet of Alchemy,Amulet of the Wild,22,102,139,887,0.02480270574971815,0.11499436302142052,0.15670800450958286,1.3763577373395401,0.46085549824335814
Djinn Lamp,Ruby Whelp,37,178,134,887,0.04171364148816235,0.20067643742953778,0.15107102593010147,1.375943317122254,0.4604210385058435
Flawed Ruby,Star of Courage,44,183,155,887,0.0496054114994363,0.20631341600901917,0.17474633596392333,1.3759210294376871,0.460397669380081
Bloodthorne,Box of Prosperity,20,124,104,887,0.02254791431792559,0.13979706877113868,0.11724915445321307,1.375620347394541,0.4600823606604589
Oil Lamp,Time Melting,30,265,73,887,0.033821871476888386,0.2987598647125141,0.08229988726042842,1.3755492375290772,0.46000778157900357
Fortuna's Kiss,Oil Lamp,23,56,265,887,0.02593010146561443,0.06313416009019165,0.2987598647125141,1.3747304582210242,0.4591487788499111
Amulet of the Wild,Strong Health Potion,28,139,130,887,0.03156708004509583,0.15670800450958286,0.14656144306651633,1.3744327614831213,0.4588363306067062
Blueberries,Star of Courage,91,379,155,887,0.10259301014656144,0.42728297632469,0.17474633596392333,1.3740233211337136,0.458406491054431
Toad,Wolpertinger,117,358,211,887,0.1319052987598647,0.4036076662908681,0.237880496054115,1.3738648097646218,0.45824004791302686
Amulet of Life,Healing Herbs,31,143,140,887,0.03494926719278467,0.161217587373168,0.15783540022547915,1.3734765234765236,0.45783225096458335
Corrupted Armor,Miss Fortune,99,315,203,887,0.11161217587373168,0.3551296505073281,0.22886133032694475,1.3732582688247712,0.4576029788082184
Banana,Healing Herbs,60,277,140,887,0.06764374295377677,0.31228861330326946,0.15783540022547915,1.372356884992264,0.4566557069154276
Banana,Fortuna's Kiss,24,277,56,887,0.02705749718151071,0.31228861330326946,0.06313416009019165,1.372356884992264,0.4566557069154276
Banana,Mana Mastery,21,277,49,887,0.02367531003382187,0.31228861330326946,0.0552423900789177,1.372356884992264,0.4566557069154276
Lump of Coal,Snow Stick,27,79,221,887,0.030439684329199548,0.08906426155580609,0.2491544532130778,1.3717280485709376,0.45599448889599786
Fly Agaric,Storage Coffin,97,127,494,887,0.10935738444193913,0.14317925591882752,0.5569334836527621,1.3714017023175746,0.455651218131348
Amulet of Fortune,Death Scythe,26,116,145,887,0.029312288613303268,0.13077790304396844,0.16347237880496054,1.371105826397146,0.4553399272996492
Box of Riches,Paradise Birb,27,101,173,887,0.030439684329199548,0.11386696730552424,0.19503945885005636,1.370628970411492,0.45483808607601306
Glowing Crown,Moon Armor,22,226,63,887,0.02480270574971815,0.2547914317925592,0.07102593010146561,1.3705576625930607,0.45476302702325677
Burning Coal,Flute,41,214,124,887,0.046223224351747465,0.24126268320180383,0.13979706877113868,1.3704778414229726,0.45467900213112544
Flawed Emerald,Heart Container,44,178,160,887,0.0496054114994363,0.20067643742953778,0.18038331454340473,1.3703651685393257,0.45456038708460084
Chipped Ruby,Poison Dagger,27,230,76,887,0.030439684329199548,0.2593010146561443,0.08568207440811725,1.3700800915331808,0.45426023207657173
Heart Container,Maneki-neko,84,160,340,887,0.09470124013528748,0.18038331454340473,0.3833145434047351,1.3696323529411765,0.4537886860547601
Flame,Platinum Customer Card,23,76,196,887,0.02593010146561443,0.08568207440811725,0.2209695603156708,1.3695622986036522,0.4537148927992833
Buy the Holy Light,Shelly,32,49,423,887,0.036076662908680945,0.0552423900789177,0.4768883878241263,1.3694215274762387,0.4535665970659059
Red Orchid Collar,Toad,21,38,358,887,0.02367531003382187,0.04284103720405862,0.4036076662908681,1.369229638341664,0.45336442637198204
Power of the Moon,Shelly,62,95,423,887,0.06989853438556934,0.10710259301014656,0.4768883878241263,1.368520592260794,0.4526171432370416
Deck of Cards,Flute,48,251,124,887,0.05411499436302142,0.2829763246899662,0.13979706877113868,1.367947564580388,0.45201293068457277
Amulet of Energy,Flute,26,136,124,887,0.029312288613303268,0.15332581736189402,0.13979706877113868,1.3675284629981024,0.45157086080494135
Blueberries,Glowing Crown,132,379,226,887,0.1488162344983089,0.42728297632469,0.2547914317925592,1.3669414154622086,0.4509514130732381
Oil Lamp,The Fool,20,265,49,887,0.02254791431792559,0.2987598647125141,0.0552423900789177,1.366191759722757,0.4501599956226565
Amulet of Fortune,Healing Herbs,25,116,140,887,0.02818489289740699,0.13077790304396844,0.15783540022547915,1.3654556650246306,0.44938247200325004
Fly Agaric,Moon Shield,26,127,133,887,0.029312288613303268,0.14317925591882752,0.14994363021420518,1.3653424900834763,0.4492628901688005
Flame,Oil Lamp,31,76,265,887,0.03494926719278467,0.08568207440811725,0.2987598647125141,1.3652929493545185,0.4492105417937922
Djinn Lamp,Time Melting,20,178,73,887,0.02254791431792559,0.20067643742953778,0.08229988726042842,1.3652454979221178,0.44916039934201113
Enchanted Weapons,Jynx torquilla,20,66,197,887,0.02254791431792559,0.07440811724915446,0.22209695603156707,1.3644054760806028,0.4482724503735963
Chipped Amethyst,Hammer,25,301,54,887,0.02818489289740699,0.33934611048478014,0.060879368658399095,1.3642795619539807,0.44813930515261813
Cap of Resilience,Strong Demonic Flask,56,289,126,887,0.06313416009019165,0.3258173618940248,0.14205186020293123,1.3640907343329487,0.4479396103580725
Bag of Stones,Maneki-neko,23,44,340,887,0.02593010146561443,0.0496054114994363,0.3833145434047351,1.3637032085561496,0.4475296955830776
Flawless Amethyst,Oil Lamp,22,54,265,887,0.02480270574971815,0.060879368658399095,0.2987598647125141,1.3636617749825297,0.4474858613243311
Double Rainbow,Flawed Amethyst,23,58,258,887,0.02593010146561443,0.06538895152198422,0.29086809470124014,1.3633386794974605,0.4471439998072504
Amulet of the Wild,Winged Boots,22,139,103,887,0.02480270574971815,0.15670800450958286,0.1161217587373168,1.3629950408605154,0.44678031303163523
Lump of Coal,Shiny Shell,21,79,173,887,0.02367531003382187,0.08906426155580609,0.19503945885005636,1.3629179776103022,0.4466987412659966
Amulet of Energy,Ruby Whelp,28,136,134,887,0.03156708004509583,0.15332581736189402,0.15107102593010147,1.3628182616330116,0.4465931846505563
Frostbite,Snowball,20,46,283,887,0.02254791431792559,0.05186020293122886,0.31905298759864714,1.362728529728069,0.44649819029953114
Flame,Jynx torquilla,23,76,197,887,0.02593010146561443,0.08568207440811725,0.22209695603156707,1.362610205717339,0.446372917458115
Flawed Emerald,Garlic,35,178,128,887,0.03945885005636979,0.20067643742953778,0.14430665163472378,1.3625790028089888,0.4463398802796326
Blood Manipulation,Divine Potion,38,114,217,887,0.04284103720405862,0.12852311161217586,0.24464487034949267,1.3625192012288787,0.44627656113542846
Cap of Discomfort,Goobling,29,497,38,887,0.03269447576099211,0.560315670800451,0.04284103720405862,1.3620141904055916,0.4457417344227645
Deck of Cards,Vampiric Potion,37,251,96,887,0.04171364148816235,0.2829763246899662,0.10822998872604284,1.3620102921646746,0.4457376052580855
King Crown,Wolpertinger,23,71,211,887,0.02593010146561443,0.08004509582863585,0.237880496054115,1.3617916026967491,0.4455059421462095
Blood Amulet,Pestilence Flask,26,223,76,887,0.029312288613303268,0.25140924464487036,0.08568207440811725,1.3607505310361103,0.4444025990782657
Flute,Mrs. Struggles,66,124,347,887,0.07440811724915446,0.13979706877113868,0.39120631341600903,1.3605559170772519,0.44419625069438107
Blueberries,Doom Cap,93,379,160,887,0.10484780157835401,0.42728297632469,0.18038331454340473,1.360339709762533,0.4439669723506412
