round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
13,Dark Ritual,477,25,0.05241090146750524,23,92.0
13,Lump of Coal,477,25,0.05241090146750524,22,88.0
13,Stone Shoes,477,24,0.050314465408805034,24,100.0
13,Double Rainbow,477,24,0.050314465408805034,22,91.66666666666666
13,Winged Boots,477,23,0.04821802935010482,22,95.65217391304348
13,Goobert,477,23,0.04821802935010482,22,95.65217391304348
13,Darkest Lotus,477,23,0.04821802935010482,22,95.65217391304348
13,Bag of Stones,477,22,0.04612159329140461,22,100.0
13,Regular Amethyst,477,22,0.04612159329140461,20,90.9090909090909
13,Hungry Blade,477,22,0.04612159329140461,18,81.81818181818183
